	18:38	公邸着。フューチャーの金丸恭文会長兼社長、ランサーズの秋好陽介社長、二オプティムの菅谷俊社長らと会食	〇
	21:11	全員出る。宿泊	
2/24	15:42	東京・富ヶ谷の私邸発	
2/24	15:54	官邸着	
2/24	15:55	加藤厚生労働大臣、菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、総務省の黒田武一郎事務次官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監、防衛省の高橋憲一防衛事務次官と面会	
2/24	17:18	官邸発	
2/24	17:30	東京・富ヶ谷の私邸着	

	9:00	午前中は来客なく、東京・富ヶ谷の私邸で過ごす	
	12:24	私邸発	
	12:38	皇居着。天皇誕生日祝賀の儀、昭恵夫人とともに宴会の儀に出席	〇
	13:49	皇居発	
	13:54	公邸着	
	14:40	公邸発	
	14:41	官邸着	
	14:49	加藤厚生労働大臣、菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監、防衛省の高橋憲一事務次官と面会（～15:24）	
	15:40	新型コロナウイルス感染症対策本部に出席（～15:57）	
	16:18	官邸発	
	16:30	私邸着	

2/22		午前中は来客なく、東京・富ヶ谷の私邸で過ごす	
	15:41	私邸発	
	15:53	官邸着	
	15:58	加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監、国土交通省の大坪新一郎海事局長、防衛省の高橋憲一事務次官と面会　新型コロナウイルスについての対応を協議（～16:34）	
	16:35	北村国家安全保障局長と面会（～16:37）	
	16:43	官邸発	
	17:01	私邸着　そのまま来客なく過ごす	

2/21	8:10	東京・富ヶ谷の私邸発	
2/21	8:21	官邸着	
2/21	8:33	閣議（～08:40）	
2/21	8:42	茂木外務大臣と面会（～08:49）	
2/21	14:17	北村滋国家安全保障局長、林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、滝崎成樹アジア大洋州局長と面会	
2/21	14:38	林官房副長官補、滝崎アジア大洋州局長が出る	
2/21	14:58	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官が出る	
2/21	15:03	菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、外務省の秋葉事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監、防衛省の髙橋憲一事務次官と面会	
2/21	15:04	加藤厚生労働大臣、厚生労働省の鈴木俊彦事務次官が入る	
2/21	15:33	全員出る	
2/21	16:17	瀧澤裕昭内閣情報官と面会（～16:43）	
2/21	17:02	官邸発	
2/21	17:04	東京・永田町の「ザ・キャピトルホテル東急」着、ホテル内の宴会場「桐」で自民党と各種団体の懇談会に出席しあいさつ	
2/21	17:11	東京・永田町の「ザ・キャピトルホテル東急」発	
2/21	17:13	官邸着	
2/21	18:46	官邸発	
2/21	18:57	東京・芝公園の「ザ・プリンスパークタワー東京」着、ホテル内の「中国料理　陽明殿」で自民党の山口泰明組織運動本部長、稲田朋美幹事長代行、三ツ林裕巳衆議院議員、神山佐市衆議院議員、西村官房副長官と会食	　　
2/21	21:05	東京・芝公園の「ザ・プリンスパークタワー東京」発	
2/21	21:18	東京・富ヶ谷の私邸発	

2/20	9:41	東京・富ヶ谷の私邸発	
2/20	9:56	官邸着	
2/20	14:12	ポーランドのグロツキ上院議長の表敬（～14:34）	
2/20	16:00	西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監、防衛省の髙橋憲一事務次官と面会（～16:23）	
2/20	16:30	北村国家安全保障局長、林肇官房副長官補、瀧澤裕昭内閣情報官、外務省の山田総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長と面会（～16:50）	
2/20	16:51	北村国家安全保障局長と面会（～16:55）	
2/20	17:17	月例経済報告等に関する関係閣僚会議に出席（～17:32）	
2/20	18:50	報道各社のインタビュー	
2/20	18:53	官邸発	
2/20	19:01	東京・六本木の京料理、鉄板焼き店「花郷　六本木店」着、評論家の金美齢氏、自民党の城内実衆議院議員、池田佳隆衆議院議員、石川昭政衆議院議員、長尾敬衆議院議員、簗和生衆議院議員、山田賢司衆議院議員、小野田紀美参議院議員と会食	　　
2/20	21:07	東京・六本木の京料理、鉄板焼き店「花郷　六本木店」発	
2/20	21:27	東京・富ヶ谷の私邸着	

	9:38	東京・富ヶ谷の私邸発	
	9:53	官邸着	
	9:54	桜を見る会の前日夜に開かれた懇親会をめぐり、野党側が会場だったホテル側の説明と総理の答弁に食い違いがあると追及していることについて、記者団の問いかけに「国会ですでに答弁したとおりだ」と答える（～9:55）	
	12:01	公明党の山口代表と会談（～13:09）
	14:57	自民党の高鳥修一筆頭副幹事長と面会（～15:32）	
	15:33	石川正一郎拉致問題対策本部事務局長と面会（～15:59）	
	16:00	「下関ふく連盟」の見原宏理事長らの表敬を受け、天然フグを試食（～16:09）	
	16:22	西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監、防衛省の高橋憲一事務次官と面会（～16:52）	
	17:17	全世代型社会保障検討会議（～18:13）	
	18:32	官邸発	
	18:58	私邸着　来客なし	

2/18	8:24	公邸発	
	8:25	官邸着	
	8:32	閣議（～8:39）	
	9:07	浜田宏一内閣官房参与と面会（～9:47）	
