4/30	（以下、すべて日本時間）11:08:00	インドネシア・ジャカルタの「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で元日本留学生による表敬（～11:29）
	0:39	松野博一、栗生俊一正副官房長官、村田隆内閣危機管理監、藤井健志官房副長官補、海上保安庁の奥島高弘長官と面会（～1:14）
	1:20	報道各社のインタビュー（～1:23）
	1:24	徒歩で官邸発
	1:25	公邸着
4/22	8:18	徒歩で公邸発
	8:19	官邸着
	8:27	閣議（～8:43）
	8:49	磯崎仁彦官房副長官と面会（～9:35）
	9:51	官邸発
	9:52	国会着
	9:53	参議院議長応接室に入る
	9:57	同室を出る。参議院本会議場に入る
	10:01	参議院本会議開会
	11:54	参議院本会議途中退席。参議院本会議場を出る
	11:55	国会発
	11:57	官邸着
	13:03	「グローバルヘルスを応援するビジネスリーダー有志一同」の渋沢健シブサワ・アンド・カンパニーＣＥＯらから要望書受け取り（～13:13）
	13:36	自民党の上川陽子幹事長代理と面会（～14:02）
	14:03	自民党の岩屋毅治安・テロ対策調査会長らから提言書受け取り（～14:12）
	14:21	官邸発
	14:23	衆議院第２議員会館着
	14:25	菅義偉前総理大臣と面会（～14:50）
	14:52	同所発
	14:55	官邸着
	14:56	報道各社のインタビュー
	15:15	日本国際交流センターの大河原昭夫理事長、日英２１世紀委員会の武見敬三日本側座長と面会（～15:35）
	15:36	秋葉剛男国家安全保障局長、防衛省の島田和久事務次官、防衛装備庁の鈴木敦夫長官と面会（～15:44）
	15:50	財務省の矢野康治事務次官、茶谷栄治主計局長と面会（～16:05）
	16:09	日本医師会の中川俊男会長と面会（～16:29）
	16:30	藤井健志官房副長官補、森昌文総理大臣補佐官、内閣官房の迫井正深新型コロナウイルス等感染症対策推進室長、外務省の安藤俊英領事局長、厚生労働省の吉田学働事務次官と面会（～16:59）
	17:06	官邸発
	17:15	東京・北の丸公園の国立公文書館着。特別展「公文書でたどる沖縄の日本復帰」を内覧。福田康夫元総理大臣、西銘恒三郎沖縄北方担当大臣、若宮健嗣万博大臣ら同行。
	17:34	同特別展の開会式に出席し、あいさつ。テープカット（～17:46）
	17:47	同所発
	17:57	官邸着
	18:04	松野博一官房長官、木原誠二官房副長官、磯崎仁彦官房副長官、栗生俊一官房副長官、村田隆内閣危機管理監、秋葉国家安全保障局長、外務省の森健良事務次官、宇山秀樹欧州局長、防衛省の増田和夫防衛政策局長入る
	18:27	資源エネルギー庁の保坂伸長官加わる
	18:30	全員出る
	18:50	官邸発
	19:07	東京・銀座の日本料理店「加賀屋銀座店」着。自民党の森山裕総務会長代行と会食	〇
	20:46	同所発
	20:57	公邸着
4/21	9:49	公邸発
	9:50	官邸着
	9:55	自民党の盛山正仁衆議院議員と面会(～10:13)
	10:27	日韓議員連盟の額賀福志郎会長と面会(～11:01)
	11:02	自民党の平井卓也デジタル社会推進本部長らと面会(～11:22)
	12:16	官邸発
	12:21	東京・虎ノ門のホテル「The Okura Tokyo」着　宴会場「平安の間」で外交評論家の故岡本行夫氏をしのぶ会に出席　献花
	12:28	同所発
