5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
5/8	9:27	東京・富ヶ谷の私邸発
	9:37	官邸着
	10:04	アメリカのトランプ大統領と電話会談（～１０：４９）
	10:56	自民党の稲田幹事長代行と面会（～１１：４９）
	16:00	自民党の岸田政務調査会長、公明党の石田政務調査会長らと面会　売り上げが一定程度減少した事業者を対象に、賃料の３分の２を給付するなどとした支援策について提言を受ける（～１６：１６）
	16:18	岸田政務調査会長と面会（～１６：３４）
	16:44	今井尚哉総理大臣補佐官、外務省の金杉憲治外務審議官と面会（～１６：４９）
	17:11	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長が入る
	17:30	瀧澤内閣情報官、外務省の山田総合外交政策局長、防衛省の槌道防衛政策局長、山崎統合幕僚長が出る
	17:36	北村国家安全保障局長が出る
	17:38	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～１８：２７）
	19:39	官邸発
	19:52	私邸着

5/7	9:42	東京・富ヶ谷の私邸発
5/7	9:59	官邸着
5/7	14:39	林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官と面会（～15:09）
5/7	15:31	産経新聞のインタビュー（～16:17）
5/7	16:30	瀧澤裕昭内閣情報官と面会（17:02）
5/7	17:30	ロシアのプーチン大統領と電話会談（～18:00）
5/7	18:06	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:45）
5/7	18:46	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監と面会（～18:47）
5/7	18:48	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長と面会（～19:02）
5/7	19:57	官邸発
5/7	20:13	東京・富ヶ谷の私邸着
5/6	9:00	午前中は来客なく東京・富ヶ谷の私邸で過ごす
	17:32	私邸発
	17:42	官邸着
	17:53	加藤厚生労働大臣、西村経済再生担当大臣、菅官房長官、杉田官房副長官、西村官房副長官、岡田官房副長官、北村滋国家安全保障局長、長谷川榮一総理大臣補佐官、和泉洋人総理大臣補佐官、外務省の森健良外務審議官、厚生労働省の鈴木康裕医務技監、新型コロナウイルス感染症対策推進室の樽見英樹室長と面会（～18:25）
	20:00	インターネット動画中継サイト「ニコニコ動画」とヤフーの特別番組に出演（～21:08）
	21:15	官邸発
	21:30	私邸着

5/5	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
	14:01	私邸発
	14:14	公邸着。インターネット動画中継サイト「ニコニコ動画」とヤフーの特別番組向けのビデオメッセージ収録
	14:56	公邸発
	14:58	官邸着
	15:20	北村滋国家安全保障局長と面会(～15:38)
	15:51	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の森健良外務審議官、厚生労働省の鈴木康裕医務技監が入る
	16:24	加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の森外務審議官、厚生労働省の鈴木医務技監が出る
	16:26	菅官房長官が出る
	16:30	イランのロウハニ大統領と電話会談(～16:55)
	17:07	官邸発
	17:21	公邸着
5/4		午前中は来客なく、東京・富ヶ谷の私邸で過ごす
	14:03	私邸発
	14:14	官邸着
	15:17	菅官房長官、加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～15:40）
	15:57	官邸発
	15:58	自民党本部着
	16:00	自民党の臨時役員会（～16:29）
	16:34	自民党本部発
	16:35	官邸着
	16:53	新型コロナウイルス感染症対策本部（～17:08）
	18:00	記者会見　緊急事態宣言の対象地域を全国としたまま宣言を延長したことを表明（～19:07）
	19:15	ベトナムのフック首相と電話会談（～19:35）
	20:19	官邸発
	20:33	私邸着　そのまま来客なし
5/3	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
	15:41	私邸発
	15:55	官邸着
	16:03	加藤厚生労働大臣、菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会
	16:14	西村経済再生担当大臣が加わる
	17:06	西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監が出る
	17:28	全員出る
	18:11	官邸発
	18:25	私邸着

5/2	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
5/2	15:41	私邸発
5/2	15:50	官邸着
5/2	16:04	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:25）
5/2	16:26	菅官房長官、西村経済再生担当大臣と面会（～16:34）
5/2	17:38	官邸発
5/2	17:52	私邸着
	8:27	東京・富ヶ谷の私邸発
	8:39	官邸着
	8:50	テレビ会議形式の閣議(～8:56)
	10:17	北村滋国家安全保障局長、林肇官房副長官補、外務省の森健良外務審議官と面会
	10:27	林官房副長官補、外務省の森外務審議官が出る
	10:30	北村滋国家安全保障局長が出る
	10:35	官邸発
	10:36	公邸着。「第２２回ユーチューブ憲法フォーラム」向けのビデオメッセージ収録
	11:05	公邸発
	11:06	官邸着
	14:20	北村国家安全保障局長、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、金杉憲治外務審議官、塚田玉樹地球規模課題審議官、厚生労働省の鈴木康裕医務技監と面会
	14:21	外務省の金杉外務審議官、塚田地球規模課題審議官、厚生労働省の鈴木医務技監が出る
	14:28	北村国家安全保障局長、今井総理大臣補佐官が出る
	14:38	外務省の秋葉剛男事務次官が出る
	15:10	自民党の高鳥修一総裁特別補佐と面会(～15:45)
	15:46	拉致問題対策本部の石川正一郎事務局長と面会(～15:59)
	16:05	加藤厚生労働大臣、西村経済再生担当大臣、新型コロナウイルス感染症対策推進室の樽見英樹室長と面会(～16:30)
	16:31	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監と面会(～16:49)
	16:50	西村経済再生担当大臣と面会(～17:02)
	17:13	瀧澤裕昭内閣情報官と面会(～17:22)
	18:03	報道各社のインタビュー(～18:05)
	18:06	日本維新の会の鈴木宗男参議院議員と面会(～18:25)
	18:26	ＥＵ＝ヨーロッパ連合主催の「新型コロナウイルスグローバル対応サミット」向けのビデオメッセージ収録(～18:35)
	19:16	官邸発
	19:31	私邸着
