5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
5/24	15:13	麻生副総理兼財務大臣、加藤厚生労働大臣、財務省の岡本薫明事務次官、太田充主計局長が入った
5/24	15:28	加藤厚生労働大臣が出た
5/24	15:55	財務省の岡本事務次官と太田主計局長が出た
5/24	16:00	麻生副総理兼財務大臣が出た
5/24	16:02	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入った
5/24	16:32	杉田官房副長官、北村国家安全保障局長、外務省の秋葉事務次官が出た
5/24	16:45	西村経済再生担当大臣、西村官房副長官、岡田官房副長官、新型コロナウイルス感染症対策推進室の樽見室長が出た
5/24	17:16	全員が出た
5/24	17:17	加藤厚生労働大臣、菅官房長官と面会（～17:21）
5/24	18:05	官邸発
5/24	18:16	東京・富ヶ谷の私邸着
5/23	9:00	午前中は来客なく東京・富ヶ谷の私邸で過ごす
	15:41	私邸発
	15:53	加藤厚生労働大臣、西村経済再生担当大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:21）
	16:41	官邸発
	16:57	私邸着
	8:59	私邸発
	9:13	官邸着
	9:30	国連のグテレス事務総長と電話会談（～9:50）
	11:10	西村経済再生担当大臣、厚生労働省の伊原和人政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～11:36）
	11:37	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の金杉憲治外務審議官、財務省の武内良樹財務官と面会（～11:58）
	13:23	官邸発
	13:24	国会着
	13:26	衆議院第１６委員室に入る
