	9:00	カナダのトルドー首相と電話会談　収束に向けた協力を確認するとともに、東京オリンピック・パラリンピックの延期を含めた検討は、完全な形で実施するためのものだと説明し、理解を求める（～9:43）	
	11:26	和泉洋人総理大臣補佐官、厚生労働省の鈴木康裕医務技監と面会（～11:31）	
	11:32	西村経済再生担当大臣、内閣府の多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～11:50）	
	14:11	菅官房長官、西村経済再生担当大臣、西村官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、厚生労働省の鈴木俊彦事務次官、鈴木医務技監、経済産業省の安藤久佳事務次官と面会（～14:28）	
	14:29	西村経済再生担当大臣、古谷官房副長官補、厚生労働省の鈴木事務次官、鈴木医務技監と面会（～14:49）	
	14:50	西村経済再生担当大臣と面会（～14:58）	
	15:04	官邸発	
	15:05	国会着	
	15:07	参議院の第２委員会室に入る	
	15:09	参議院の第２委員会室を出て、第３委員会室に入る	
	15:10	参議院の財政金融委員会（～16:10）	
	16:11	参議院の第３委員会室を出る	
	16:13	国会発	
	16:15	官邸着	
	16:24	北村国家安全保障局長、林肇官房副長官補、今井総理大臣補佐官、外務省の秋葉事務次官、金杉憲治外務審議官と面会（～16:51）	
	16:55	北村国家安全保障局長、瀧澤裕昭内閣情報官、防衛省の槌道明宏防衛政策局長、納冨中情報本部長と面会（～17:21）	
	17:32	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング（～19:00）	
	19:22	官邸発	
	19:23	公邸着	
	20:00	ＩＯＣ＝国際オリンピック委員会のバッハ会長と電話会談（～20:45）	
	21:10	報道各社のインタビュー（～21:13）	
	21:13	公邸発	
	21:27	私邸着	

	7:00	東京・富ヶ谷の私邸発	
	7:11	官邸着	
	7:30	岡田官房副長官と面会（～8:36）	
	8:49	官邸発	
	8:50	国会着	
3/23	8:52	参議院第1委員会室に入る	
	8:55	参議院予算委員会（～11:53）	
	11:54	参議院第1委員会室を出る	
	11:57	院内大臣室へ入る	
	12:00	新型コロナウイルス感染症対策本部（～12:07）	
	12:08	院内大臣室を出る	
	12:09	国会発	
	12:11	官邸着	
	12:54	官邸発	
	12:56	国会着	
	12:57	参議院第1委員会室に入る	
	12:58	麻生副総理兼財務大臣と自席で会話（～12:59）	
	13:00	参議院予算委員会（～17:11）	
	17:11	参議院第1委員会室を出る	
	17:13	自民党総裁室に入る	
	17:14	自民党役員会に出席（～17:34）	
	17:35	自民党総裁室を出て国会発	
	17:37	官邸着	
	17:42	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の山崎重孝事務次官、外務省の秋葉剛男事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監、樽見英樹医薬・生活衛生局長と面会（～17:53）	
	17:54	西村経済再生担当大臣、内閣府の山崎事務次官、田和宏内閣府審議官、多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～18:03）	
	18:04	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング（～19:28）	
	20:31	官邸発	
	20:46	私邸着
3/22	9:02	東京・富ヶ谷の私邸発	
3/22	9:15	官邸着	
3/22	9:20	陸上自衛隊ヘリコプターで官邸屋上ヘリポート発	
3/22	9:39	神奈川県横須賀市の防衛大学校着	
3/22	9:46	本館応接室で河野防衛大臣、国分良成防衛大学校長らと面会（～09:57）	
3/22	10:03	記念講堂で開かれた防衛大学校卒業式に出席	
3/22	11:05	卒業式終了	
3/22	11:10	本館学校長応接室で河野防衛大臣、国分防衛大学校長らと面会（～11:32）	
3/22	11:36	記念講堂で任命・宣誓式に出席	
3/22	11:45	陸上自衛隊ヘリコプターで防衛大学校発	
3/22	12:13	官邸屋上ヘリポート着	
3/22	14:03	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、厚労省の鈴木俊彦事務次官、鈴木康裕医務技監、樽見英樹医薬・生活衛生局長と面会	
3/22	14:22	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、今井総理大臣補佐官、厚労省の鈴木事務次官、鈴木医務技監と面会	
3/22	14:35	北村国家安全保障局長と面会	
3/22	14:40	官邸発	
3/22	14:50	東京・渋谷の美容室「HAIR GUEST」着、散髪	
3/22	16:32	美容室発	
3/22	16:42	東京・富ヶ谷の私邸着	

	9:00	午前中は来客なく、東京・富ヶ谷の私邸で過ごす	
	15:01	私邸発	
	15:14	官邸着	
	15:42	NSC＝国家安全保障会議の4大臣会合に出席(～15:57)	
