3/22	18:17	マララさんと共同記者発表(～18:26）	
3/22	18:50	官邸発	
3/22	18:57	東京・港区の迎賓館着	
3/22	18:58	迎賓館内で、「国際女性会議・WAW！」の出席者らと写真撮影　昭恵夫人同席(～19:00）	
3/22	19:16	迎賓館内の会場「花鳥の間」で、「国際女性会議・WAW！」の出席者らを招いた安倍総理大臣夫妻主催の夕食会（～20:45）	夕食
3/22	20:47	迎賓館発	
3/22	21:05	私邸着
3/21	9:21	東京・富ヶ谷の私邸発	
3/21	9:32	皇居着　春季皇霊祭の儀・春季神殿祭の儀に出席	
3/21	10:50	皇居発	
3/21	11:02	私邸着
3/20	8:45	東京・富ヶ谷の私邸発	
3/20	8:58	官邸着	
3/20	9:05	野上官房副長官と打ち合わせ（～9:42）	
3/20	11:32	日米国会議員会議の参加者と面会（～12:10）	
3/20	12:55	官邸発	
3/20	12:57	国会着	
3/20	12:58	参議院第４１委員会室に入る	
3/20	13:00	参議院総務委員会が再開	
3/20	14:02	参議院総務委員会を途中退席し、参議院第４１委員会室を出る	
3/20	14:03	国会発	
3/20	14:06	官邸着	
3/20	14:09	内閣府の山崎重孝事務次官と面会（～14:19）	
3/20	14:32	官邸発	
3/20	14:38	東京・千代田区の「帝国ホテル」着	
3/20	14:47	ホテル内の宴会場「孔雀の間」に入り、日本商工会議所の通常会員総会に出席し、あいさつ（～15:00）	
3/20	15:02	「帝国ホテル」発	
3/20	15:08	国会着	
3/20	15:09	院内大臣室に入る	
3/20	15:29	院内大臣室を出る	
3/20	15:31	参議院第２委員会室に入る	
3/20	15:35	参議院第２委員会室を出る	
3/20	15:36	参議院第３委員会室に入り、参議院財政金融委員会に出席	
3/20	16:34	参議院財政金融委員会が散会し、参議院第３委員会室を出る	
3/20	16:35	国会発	
3/20	16:38	官邸着	
3/20	16:45	北村滋内閣情報官と面会（～16:48）	
3/20	16:49	自民党の河井克行総裁外交特別補佐と面会（～17:13）	
3/20	17:20	月例経済報告等に関する関係閣僚会議に出席（～17:33）	
3/20	17:34	官邸内の庭で、麻生副総理兼財務大臣、茂木経済再生担当大臣らと散歩（～17:38）	
3/20	17:39	未来投資会議に出席（～18:13）	
3/20	18:30	オーストラリアのモリソン首相と電話会談（～18:43）	
